[1]	test-error:0.181000	train-error:0.549583
[2]	test-error:0.099200	train-error:0.156467
[3]	test-error:0.071700	train-error:0.112083
[4]	test-error:0.060200	train-error:0.092517
[5]	test-error:0.055500	train-error:0.082417
[6]	test-error:0.049200	train-error:0.075050
[7]	test-error:0.048000	train-error:0.067217
[8]	test-error:0.046300	train-error:0.063250
[9]	test-error:0.041000	train-error:0.059950
[10]	test-error:0.039800	train-error:0.056867
[11]	test-error:0.039000	train-error:0.054583
[12]	test-error:0.037200	train-error:0.051167
[13]	test-error:0.036500	train-error:0.050417
[14]	test-error:0.032700	train-error:0.048617
[15]	test-error:0.032800	train-error:0.047317
[16]	test-error:0.035800	train-error:0.044317
[17]	test-error:0.030900	train-error:0.044083
[18]	test-error:0.031400	train-error:0.042733
[19]	test-error:0.031200	train-error:0.041150
[20]	test-error:0.029300	train-error:0.039433
[21]	test-error:0.029100	train-error:0.038717
[22]	test-error:0.028900	train-error:0.039083
[23]	test-error:0.028700	train-error:0.037833
[24]	test-error:0.028000	train-error:0.035683
[25]	test-error:0.026900	train-error:0.035333
[26]	test-error:0.027700	train-error:0.033667
[27]	test-error:0.025900	train-error:0.033567
[28]	test-error:0.028000	train-error:0.033200
[29]	test-error:0.026400	train-error:0.031800
[30]	test-error:0.024600	train-error:0.030850
[31]	test-error:0.026600	train-error:0.031383
[32]	test-error:0.024300	train-error:0.031233
[33]	test-error:0.025100	train-error:0.031100
[34]	test-error:0.024000	train-error:0.028550
[35]	test-error:0.024200	train-error:0.028550
[36]	test-error:0.025800	train-error:0.028683
[37]	test-error:0.023500	train-error:0.028850
[38]	test-error:0.023300	train-error:0.027083
[39]	test-error:0.024000	train-error:0.026433
[40]	test-error:0.023900	train-error:0.026583
[41]	test-error:0.022200	train-error:0.026767
[42]	test-error:0.023700	train-error:0.026467
[43]	test-error:0.022600	train-error:0.024750
[44]	test-error:0.022600	train-error:0.025017
[45]	test-error:0.023500	train-error:0.025383
[46]	test-error:0.023600	train-error:0.024650
[47]	test-error:0.022600	train-error:0.023933
[48]	test-error:0.022000	train-error:0.023667
[49]	test-error:0.021900	train-error:0.023133
[50]	test-error:0.021600	train-error:0.022700
[51]	test-error:0.021700	train-error:0.022867
[52]	test-error:0.022000	train-error:0.023683
[53]	test-error:0.021000	train-error:0.022750
[54]	test-error:0.021300	train-error:0.022517
[55]	test-error:0.022700	train-error:0.021900
[56]	test-error:0.022300	train-error:0.022017
[57]	test-error:0.021200	train-error:0.020483
[58]	test-error:0.022100	train-error:0.020800
[59]	test-error:0.020700	train-error:0.020600
[60]	test-error:0.022300	train-error:0.020183
[61]	test-error:0.020900	train-error:0.019233
[62]	test-error:0.019800	train-error:0.020200
[63]	test-error:0.021100	train-error:0.019400
[64]	test-error:0.019800	train-error:0.020633
[65]	test-error:0.021100	train-error:0.019617
[66]	test-error:0.020600	train-error:0.018717
[67]	test-error:0.019100	train-error:0.018500
[68]	test-error:0.020800	train-error:0.017617
[69]	test-error:0.020800	train-error:0.018483
[70]	test-error:0.022000	train-error:0.018817
[71]	test-error:0.019900	train-error:0.018200
[72]	test-error:0.019800	train-error:0.019067
[73]	test-error:0.020800	train-error:0.018017
[74]	test-error:0.021000	train-error:0.018083
[75]	test-error:0.020000	train-error:0.017517
[76]	test-error:0.020500	train-error:0.018117
[77]	test-error:0.019700	train-error:0.017017
[78]	test-error:0.019700	train-error:0.016867
[79]	test-error:0.020100	train-error:0.016700
[80]	test-error:0.020500	train-error:0.016683
[81]	test-error:0.020700	train-error:0.016650
[82]	test-error:0.020200	train-error:0.017167
[83]	test-error:0.020100	train-error:0.015500
[84]	test-error:0.019900	train-error:0.015883
[85]	test-error:0.020400	train-error:0.015700
[86]	test-error:0.020400	train-error:0.016433
