[1]	test-error:0.265600	train-error:0.684150
[2]	test-error:0.111800	train-error:0.241800
[3]	test-error:0.091000	train-error:0.153483
[4]	test-error:0.079100	train-error:0.127233
[5]	test-error:0.070200	train-error:0.113983
[6]	test-error:0.062100	train-error:0.103417
[7]	test-error:0.056800	train-error:0.095783
[8]	test-error:0.053700	train-error:0.090867
[9]	test-error:0.052700	train-error:0.086683
[10]	test-error:0.050700	train-error:0.083583
[11]	test-error:0.049000	train-error:0.080783
[12]	test-error:0.045100	train-error:0.078683
[13]	test-error:0.047800	train-error:0.076667
[14]	test-error:0.045800	train-error:0.074933
[15]	test-error:0.042100	train-error:0.073350
[16]	test-error:0.044600	train-error:0.071617
[17]	test-error:0.042400	train-error:0.071367
[18]	test-error:0.041400	train-error:0.069550
[19]	test-error:0.040600	train-error:0.066233
[20]	test-error:0.040100	train-error:0.066217
[21]	test-error:0.038500	train-error:0.064983
[22]	test-error:0.037500	train-error:0.062617
[23]	test-error:0.040500	train-error:0.065083
[24]	test-error:0.037200	train-error:0.061667
[25]	test-error:0.037100	train-error:0.061933
[26]	test-error:0.036700	train-error:0.059767
[27]	test-error:0.037400	train-error:0.058967
[28]	test-error:0.036400	train-error:0.059133
[29]	test-error:0.036100	train-error:0.059867
[30]	test-error:0.035200	train-error:0.058717
[31]	test-error:0.035200	train-error:0.057717
[32]	test-error:0.036400	train-error:0.055583
[33]	test-error:0.033700	train-error:0.056650
[34]	test-error:0.035700	train-error:0.055583
[35]	test-error:0.032900	train-error:0.055333
[36]	test-error:0.032700	train-error:0.053967
[37]	test-error:0.034600	train-error:0.053867
[38]	test-error:0.034400	train-error:0.053517
[39]	test-error:0.031900	train-error:0.053617
[40]	test-error:0.032900	train-error:0.052950
[41]	test-error:0.032700	train-error:0.052850
[42]	test-error:0.034600	train-error:0.051383
[43]	test-error:0.032500	train-error:0.051033
[44]	test-error:0.032700	train-error:0.050417
[45]	test-error:0.033000	train-error:0.050200
[46]	test-error:0.032200	train-error:0.049550
[47]	test-error:0.032200	train-error:0.049800
[48]	test-error:0.030700	train-error:0.049683
[49]	test-error:0.033100	train-error:0.050350
[50]	test-error:0.031800	train-error:0.049150
[51]	test-error:0.031700	train-error:0.048500
[52]	test-error:0.031500	train-error:0.047633
[53]	test-error:0.031200	train-error:0.048900
[54]	test-error:0.030500	train-error:0.048317
[55]	test-error:0.031000	train-error:0.048300
[56]	test-error:0.030500	train-error:0.047550
[57]	test-error:0.029800	train-error:0.046967
[58]	test-error:0.032000	train-error:0.046817
[59]	test-error:0.030400	train-error:0.046867
[60]	test-error:0.031200	train-error:0.047517
[61]	test-error:0.029700	train-error:0.045917
[62]	test-error:0.031000	train-error:0.046583
[63]	test-error:0.030100	train-error:0.045283
[64]	test-error:0.030700	train-error:0.046500
[65]	test-error:0.031100	train-error:0.044833
[66]	test-error:0.030400	train-error:0.044417
[67]	test-error:0.029500	train-error:0.044867
[68]	test-error:0.030200	train-error:0.044400
[69]	test-error:0.030200	train-error:0.044683
[70]	test-error:0.029100	train-error:0.045017
[71]	test-error:0.029000	train-error:0.045833
[72]	test-error:0.027800	train-error:0.044650
[73]	test-error:0.029700	train-error:0.042817
[74]	test-error:0.028800	train-error:0.043000
[75]	test-error:0.029500	train-error:0.043300
[76]	test-error:0.028600	train-error:0.042900
[77]	test-error:0.028900	train-error:0.041917
[78]	test-error:0.029700	train-error:0.042600
[79]	test-error:0.029300	train-error:0.042367
[80]	test-error:0.028500	train-error:0.043183
[81]	test-error:0.028700	train-error:0.041717
[82]	test-error:0.030100	train-error:0.041967
[83]	test-error:0.030300	train-error:0.042317
[84]	test-error:0.028600	train-error:0.041783
[85]	test-error:0.029300	train-error:0.041467
[86]	test-error:0.029900	train-error:0.042167
[87]	test-error:0.028600	train-error:0.041650
[88]	test-error:0.028700	train-error:0.040750
[89]	test-error:0.029900	train-error:0.040517
[90]	test-error:0.028100	train-error:0.040900
[91]	test-error:0.028700	train-error:0.040967
[92]	test-error:0.028500	train-error:0.041733
[93]	test-error:0.029100	train-error:0.039850
[94]	test-error:0.029700	train-error:0.041017
[95]	test-error:0.029000	train-error:0.042267
[96]	test-error:0.030000	train-error:0.039717
[97]	test-error:0.029700	train-error:0.040550
[98]	test-error:0.028000	train-error:0.040333
[99]	test-error:0.028700	train-error:0.041017
[100]	test-error:0.028100	train-error:0.039850
[101]	test-error:0.029000	train-error:0.040650
[102]	test-error:0.028900	train-error:0.039300
[103]	test-error:0.028200	train-error:0.038367
[104]	test-error:0.028200	train-error:0.039650
[105]	test-error:0.027800	train-error:0.040283
[106]	test-error:0.028500	train-error:0.040250
[107]	test-error:0.028900	train-error:0.040000
[108]	test-error:0.029400	train-error:0.038250
[109]	test-error:0.028700	train-error:0.039983
[110]	test-error:0.027800	train-error:0.039517
[111]	test-error:0.029000	train-error:0.038483
[112]	test-error:0.029500	train-error:0.038500
[113]	test-error:0.027800	train-error:0.037350
[114]	test-error:0.029000	train-error:0.038600
[115]	test-error:0.027500	train-error:0.038767
[116]	test-error:0.029700	train-error:0.037283
[117]	test-error:0.029000	train-error:0.037833
[118]	test-error:0.028400	train-error:0.037850
[119]	test-error:0.028900	train-error:0.038083
[120]	test-error:0.028900	train-error:0.038200
[121]	test-error:0.028500	train-error:0.038683
[122]	test-error:0.028700	train-error:0.036917
[123]	test-error:0.028300	train-error:0.037433
[124]	test-error:0.028600	train-error:0.038367
[125]	test-error:0.027500	train-error:0.036433
[126]	test-error:0.029400	train-error:0.036850
[127]	test-error:0.028000	train-error:0.038850
[128]	test-error:0.027800	train-error:0.037283
[129]	test-error:0.028600	train-error:0.035217
[130]	test-error:0.028900	train-error:0.037500
[131]	test-error:0.028300	train-error:0.037133
[132]	test-error:0.028300	train-error:0.038350
[133]	test-error:0.028700	train-error:0.036600
[134]	test-error:0.028100	train-error:0.037550
[135]	test-error:0.027500	train-error:0.037300
[136]	test-error:0.028800	train-error:0.036383
[137]	test-error:0.029500	train-error:0.036833
[138]	test-error:0.028700	train-error:0.036150
[139]	test-error:0.029500	train-error:0.036267
[140]	test-error:0.028900	train-error:0.035217
[141]	test-error:0.029300	train-error:0.035850
[142]	test-error:0.028200	train-error:0.036017
[143]	test-error:0.028200	train-error:0.035883
[144]	test-error:0.029000	train-error:0.035800
[145]	test-error:0.030100	train-error:0.034300
[146]	test-error:0.029200	train-error:0.035283
[147]	test-error:0.028500	train-error:0.035683
[148]	test-error:0.028500	train-error:0.034733
[149]	test-error:0.028100	train-error:0.035733
[150]	test-error:0.028500	train-error:0.036433
[151]	test-error:0.028500	train-error:0.035283
[152]	test-error:0.029600	train-error:0.034150
[153]	test-error:0.029100	train-error:0.035467
[154]	test-error:0.028500	train-error:0.035883
[155]	test-error:0.028100	train-error:0.034983
[156]	test-error:0.028500	train-error:0.035783
[157]	test-error:0.028500	train-error:0.035583
[158]	test-error:0.028800	train-error:0.035017
[159]	test-error:0.029200	train-error:0.035133
[160]	test-error:0.029000	train-error:0.034717
