[1]	test-error:0.265600	train-error:0.684150
[2]	test-error:0.111800	train-error:0.241800
[3]	test-error:0.091000	train-error:0.153483
[4]	test-error:0.079100	train-error:0.127233
[5]	test-error:0.070200	train-error:0.113983
[6]	test-error:0.062100	train-error:0.103417
[7]	test-error:0.056800	train-error:0.095783
[8]	test-error:0.053700	train-error:0.090867
[9]	test-error:0.052700	train-error:0.086683
[10]	test-error:0.050700	train-error:0.083583
[11]	test-error:0.049000	train-error:0.080783
[12]	test-error:0.045100	train-error:0.078683
