[1]	test-error:0.598800	train-error:0.746350
[2]	test-error:0.128100	train-error:0.343250
[3]	test-error:0.071100	train-error:0.095933
[4]	test-error:0.053300	train-error:0.062533
[5]	test-error:0.044300	train-error:0.048000
[6]	test-error:0.039100	train-error:0.038483
[7]	test-error:0.035100	train-error:0.032517
[8]	test-error:0.032600	train-error:0.027917
[9]	test-error:0.030200	train-error:0.023717
[10]	test-error:0.029400	train-error:0.020517
[11]	test-error:0.029100	train-error:0.017867
[12]	test-error:0.028000	train-error:0.015150
[13]	test-error:0.027000	train-error:0.013067
[14]	test-error:0.027400	train-error:0.011033
[15]	test-error:0.027700	train-error:0.009667
[16]	test-error:0.028600	train-error:0.008467
[17]	test-error:0.028500	train-error:0.007150
[18]	test-error:0.027900	train-error:0.005883
[19]	test-error:0.028100	train-error:0.004833
[20]	test-error:0.026700	train-error:0.004083
[21]	test-error:0.025200	train-error:0.003350
[22]	test-error:0.024400	train-error:0.002733
[23]	test-error:0.024100	train-error:0.002167
[24]	test-error:0.024000	train-error:0.001817
[25]	test-error:0.023900	train-error:0.001500
[26]	test-error:0.023000	train-error:0.001283
[27]	test-error:0.023100	train-error:0.001083
[28]	test-error:0.023300	train-error:0.000783
[29]	test-error:0.024000	train-error:0.000683
[30]	test-error:0.024400	train-error:0.000533
[31]	test-error:0.025000	train-error:0.000433
[32]	test-error:0.025300	train-error:0.000283
